id,Wellbeing score,BuildingHeights,Integration,Flow,PTAL,Casualty,Fuel,Supermarket,Choice
34290,0.162996481,0.049215569,0.106726395,728,0.42202,0.045,2.59256,1,207606
34291,0.162996481,0.047980178,0.0588818,807,0.47872,0.047,2.60344,0,186470
34292,0.162996481,0.04112087,0.08215801,400,0.28177,0.255,1.96083,0,166437
34293,0.162996481,0.035661427,0.080401867,7,0.09215,0.456,1.34196,0,176715
34294,0.162996481,0.034915997,0.039668437,7,0.09215,0.456,1.34196,0,141652
34295,0.162996481,0.032354247,0.093454802,7,0.09172,0.449,1.34286,0,295849
34296,0.162996481,0.033953589,0.083205235,7,0.09209,0.455,1.34196,0,10162
34297,0.162996481,0.053362644,0.039161415,7,0.0896,0.414,1.34908,0,7609
34298,0.162996481,0.04778771,0.031915837,7,0.0832,0.311,1.36522,0,27924
34299,0.162192056,0.034527536,0.081966108,159,0.12241,0.179,1.87785,0,116936
34300,0.159477124,0.032651727,0.055813539,734,0.2962,0.089,3.75106,0,133396
34301,0.159477124,0.034692023,0.045328725,734,0.2962,0.089,3.75106,0,138011
34302,0.159477124,0.033761107,0.092805004,766,0.29088,0.085,3.68679,0,246538
34303,0.159477124,0.028249158,0.097278498,903,0.26862,0.069,3.41733,0,868404
34304,0.159477124,0.028249158,0.107066409,1161,0.22639,0.037,2.90644,0,61967
34305,0.159477124,0.029246557,0.07938519,1137,0.23356,0.039,2.86507,0,216984
34306,0.159477124,0.028777608,0.022285655,694,0.36589,0.081,2.11179,0,192385
34307,0.159477124,0,0,388,0.45757,0.109,1.59052,0,0
34308,0.159477124,0,0.065384161,626,0.40914,0.167,2.14356,0,59467
34309,0.159477124,0.031241356,0.058110504,857,0.36235,0.223,2.67791,0,19431
34310,0.159477124,0.033467138,0.07208869,845,0.36461,0.221,2.65112,0,26769
34311,0.159477124,0.032914203,0.061817922,1054,0.32238,0.271,3.13528,0,50364
34312,0.159477124,0.031416349,0.085988663,1173,0.29822,0.3,3.41103,0,114617
34313,0.139768728,0.040088467,0.073781796,643,0.27631,0.235,1.66725,0,294932
34314,0.117697335,0.040088467,0,490,0.1375,0.27,1.35359,0,0
34315,0.117697335,0,0,415,0.1366,0.255,1.42921,0,0
34316,0.117697335,0.03549694,0.041176674,390,0.13636,0.249,1.45463,0,48385
34317,0.117697335,0.033631624,0.039632841,185,0.13405,0.205,1.66302,0,47610
34318,0.117697335,0.033946593,0.013049941,90,0.1329,0.184,1.758,0,17427
34319,0.117697335,0.033946593,0,90,0.1329,0.184,1.758,0,0
34320,0.117697335,0,0,90,0.1329,0.184,1.758,0,0
34321,0.117697335,0,0,90,0.1329,0.184,1.758,0,0
34322,0.115384615,0,0,94,0.13077,0.189,1.67112,0,0
34323,0.117697335,0,0,90,0.1329,0.184,1.758,0,0
34324,0.117697335,0.031776802,0.015757822,90,0.1329,0.184,1.758,0,71482
34325,0.14364002,0.033064686,0.035662071,570,0.24721,0.092,2.06551,0,44062
34326,0.15173454,0.035171465,0.050017283,723,0.28386,0.062,2.164,0,45391
34327,0.15173454,0.036105865,0.067290054,723,0.28386,0.062,2.164,0,18000
34328,0.151835093,0.038863595,0.035863529,718,0.28166,0.061,2.14866,0,59887
34329,0.157315234,0.048347639,0.103812355,280,0.11558,0.05,0.98703,1,336384
34330,0.160784314,0.048347639,0.121283779,47,0.07109,0.061,0.71075,0,175434
34331,0.160784314,0.032081277,0.134427974,36,0.14054,0.09,1.25567,0,39353
34332,0.160784314,0.042387741,0.090960837,18,0.24413,0.134,2.06833,0,42480
34333,0.160784314,0.033187173,0.009792316,14,0.26576,0.143,2.23798,0,0
34334,0.160784314,0.033516133,0.009792316,14,0.26576,0.143,2.23798,0,0
34335,0.160784314,0.033516133,0.009792316,14,0.26576,0.143,2.23798,0,0
34336,0.160784314,0,0,67,0.24169,0.13,2.20181,0,0
34337,0.160784314,0.046482337,0.013931067,164,0.19819,0.106,2.13707,0,144950
34338,0.160784314,0.035153963,0.01034596,164,0.19792,0.106,2.13648,0,3509
34339,0.160784314,0.032336745,0.012576307,169,0.20416,0.105,2.16956,0,31567
34340,0.160784314,0.034671036,0.034840888,273,0.19561,0.113,2.2115,0,65795
34341,0.160784314,0.034671036,0.07738253,653,0.18746,0.141,2.47401,0,93132
34342,0.160784314,0.034664014,0.020854281,676,0.18694,0.143,2.48944,0,20485
34343,0.160784314,0.045785902,0.053556444,676,0.18695,0.143,2.4898,0,53367
34344,0.092961287,0.045785902,0,383,0.10717,0.076,1.34588,0,0
34345,0.037657114,0,0,141,0.04121,0.02,0.40031,0,0
34346,0.037657114,0,0,141,0.04121,0.02,0.40031,0,0
34347,0.037657114,0,0,141,0.04121,0.02,0.40031,0,0
34348,0.037657114,0.044008096,0,141,0.04121,0.02,0.40031,0,0
34349,0.037657114,0.038902084,0,141,0.04121,0.02,0.40031,0,0
34350,0.041578683,0.041824287,0,139,0.03975,0.019,0.39513,0,0
34351,0.301256913,0.047742206,0.012136036,430,1.07789,1.337,4.54322,0,0
34352,0.301256913,0.047742206,0.071419308,430,1.07789,1.337,4.54322,0,101084
34353,0.301256913,0.040147965,0.023086505,430,1.07789,1.337,4.54322,0,29366
34354,0.301256913,0.051829796,0.009294442,345,1.26073,1.093,5.92536,0,0
34355,0.301256913,0.051829796,0.040098849,636,1.09317,0.689,6.23193,0,2377
34356,0.372448467,0.036326352,0.098372119,934,0.90454,0.313,5.48239,0,159948
34357,0.444444444,0.055028473,0.013989199,1021,0.89656,0.073,5.13508,0,6359
34358,0.444444444,0.036119873,0.02795455,1021,0.89656,0.073,5.13508,0,5889
34359,0.429562594,0.05338014,0.102914357,1044,0.96117,0.143,5.49799,0,507792
34360,0.396983409,0.046419334,0.084275539,1108,1.17327,0.329,6.19636,0,533604
34361,0.421920563,0.045236459,0.094910635,1160,1.39492,0.448,5.9898,0,435626
34362,0.444444444,0.049663512,0.067328306,1027,1.33264,0.505,5.71798,0,382534
34363,0.444444444,0.049663512,0.068144312,784,1.04101,0.499,5.63787,0,409748
34364,0.444444444,0.090430918,0.015085503,630,0.85717,0.495,5.58558,0,844
34365,0.444444444,0.090430918,0.068451414,630,0.85717,0.495,5.58558,0,93791
34366,0.436802413,0.034779509,0.017678598,709,1.023,0.461,6.21492,0,8124
34367,0.38974359,0.044739508,0.018379746,1075,1.78733,0.307,9.11663,0,86441
34368,0.38974359,0.039423542,0.112748623,1086,1.79166,0.319,9.21659,0,31469
34369,0.38974359,0.044466535,0.103999766,1590,1.97966,0.918,14.04782,0,28864
34370,0.38974359,0.037768206,0.071721374,1791,2.05349,1.151,15.95368,0,6953
34371,0.38974359,0.055129964,0.083185144,1616,1.80728,1.52,13.12243,0,45073
34372,0.38974359,0.068204644,0.041462461,1326,1.42299,2.146,8.60758,0,18355
34373,0.38974359,0.035055977,0.202526575,1418,1.45878,1.855,9.46127,0,1282649
34374,0.38974359,0.038009683,0.186611967,1448,1.5736,1.269,10.13358,0,1224255
34375,0.38974359,0.036336849,0.048292999,1435,1.55711,1.365,9.9624,0,12945
34376,0.38974359,0.036336849,0.116825645,1264,1.2188,0.879,8.72184,0,225153
34377,0.38974359,0.036837297,0.0243417,895,0.51114,0.122,5.88678,0,34259
34378,0.38974359,0.034622022,0.069441093,895,0.51114,0.122,5.88678,0,152689
34379,0.392156863,0.035437439,0.057645022,847,0.51268,0.119,5.96795,0,17268
